time,temperature_2m (°C),rain (mm),windspeed_10m (km/h),winddirection_10m (°)
07/01/2023 00:00:00,15.5,0.00,4.3,204
07/01/2023 01:00:00,14.9,0.00,5.4,188
07/01/2023 02:00:00,15.0,0.00,6.8,180
07/01/2023 03:00:00,15.3,0.00,8.6,180
07/01/2023 04:00:00,15.5,0.00,10.4,180
07/01/2023 05:00:00,15.6,0.00,12.3,175
07/01/2023 06:00:00,15.5,0.00,13.3,183
07/01/2023 07:00:00,15.5,0.00,12.6,193
07/01/2023 08:00:00,15.6,0.20,13.5,196
07/01/2023 09:00:00,15.5,0.10,12.8,202
07/01/2023 10:00:00,15.2,0.60,10.8,180
07/01/2023 11:00:00,15.5,0.40,11.7,189
07/01/2023 12:00:00,15.7,0.10,12.0,196
07/01/2023 13:00:00,16.0,0.50,11.8,203
07/01/2023 14:00:00,16.2,0.40,14.5,199
07/01/2023 15:00:00,16.5,0.10,14.3,214
07/01/2023 16:00:00,17.1,0.00,15.6,220
07/01/2023 17:00:00,17.3,0.00,14.1,212
07/01/2023 18:00:00,17.1,0.00,14.5,210
07/01/2023 19:00:00,17.3,0.10,14.1,220
07/01/2023 20:00:00,17.2,0.00,11.5,226
07/01/2023 21:00:00,17.1,2.30,11.2,230
07/01/2023 22:00:00,17.0,0.00,11.9,245
07/01/2023 23:00:00,16.3,0.00,14.3,252
07/02/2023 00:00:00,15.9,0.00,14.8,247
07/02/2023 01:00:00,15.6,0.00,15.5,245
07/02/2023 02:00:00,14.8,0.00,12.9,240
07/02/2023 03:00:00,14.7,0.10,15.6,232
07/02/2023 04:00:00,14.6,0.00,17.9,236
07/02/2023 05:00:00,14.6,0.00,14.3,231
07/02/2023 06:00:00,14.6,0.00,17.8,238
07/02/2023 07:00:00,14.9,0.00,17.9,236
07/02/2023 08:00:00,15.8,0.00,18.4,242
07/02/2023 09:00:00,16.7,0.00,21.3,246
07/02/2023 10:00:00,16.8,0.00,25.5,257
07/02/2023 11:00:00,18.0,0.10,24.3,255
07/02/2023 12:00:00,19.1,0.00,24.6,259
07/02/2023 13:00:00,19.2,0.00,24.3,249
07/02/2023 14:00:00,19.4,0.00,24.6,264
07/02/2023 15:00:00,19.2,0.00,26.7,266
07/02/2023 16:00:00,19.5,0.00,26.6,261
07/02/2023 17:00:00,20.0,0.00,27.4,270
07/02/2023 18:00:00,18.8,0.00,26.6,272
07/02/2023 19:00:00,18.1,0.00,24.5,274
07/02/2023 20:00:00,17.3,0.00,19.8,269
07/02/2023 21:00:00,16.5,0.00,16.4,255
07/02/2023 22:00:00,15.5,0.00,12.2,251
07/02/2023 23:00:00,15.1,0.00,11.5,238
07/03/2023 00:00:00,14.8,0.00,12.5,226
07/03/2023 01:00:00,14.0,0.00,15.1,230
07/03/2023 02:00:00,13.6,0.00,13.8,231
07/03/2023 03:00:00,13.0,0.00,11.9,215
07/03/2023 04:00:00,12.5,0.00,12.0,219
07/03/2023 05:00:00,12.5,0.00,11.5,212
07/03/2023 06:00:00,12.9,0.00,12.3,218
07/03/2023 07:00:00,13.6,0.00,12.3,218
07/03/2023 08:00:00,15.4,0.00,15.9,232
07/03/2023 09:00:00,16.4,0.00,21.1,250
07/03/2023 10:00:00,16.8,0.00,21.1,253
07/03/2023 11:00:00,17.4,0.00,18.9,252
07/03/2023 12:00:00,18.9,0.00,19.8,245
07/03/2023 13:00:00,17.0,2.60,14.3,245
07/03/2023 14:00:00,16.6,0.40,19.1,238
07/03/2023 15:00:00,16.3,0.10,19.8,258
07/03/2023 16:00:00,15.5,0.80,15.6,247
07/03/2023 17:00:00,16.2,0.00,17.8,256
07/03/2023 18:00:00,16.1,0.00,14.4,257
07/03/2023 19:00:00,15.8,0.10,12.6,243
07/03/2023 20:00:00,15.4,0.00,10.9,207
07/03/2023 21:00:00,14.9,0.00,10.5,229
07/03/2023 22:00:00,14.1,0.00,10.2,212
07/03/2023 23:00:00,13.2,0.00,10.9,197
07/04/2023 00:00:00,12.8,0.00,11.6,187
07/04/2023 01:00:00,13.0,0.00,12.5,192
07/04/2023 02:00:00,12.9,1.70,16.9,214
07/04/2023 03:00:00,12.9,0.50,16.8,225
07/04/2023 04:00:00,12.8,0.00,18.2,236
07/04/2023 05:00:00,12.2,0.00,17.1,240
07/04/2023 06:00:00,12.0,0.00,15.3,231
07/04/2023 07:00:00,12.6,0.00,15.6,230
07/04/2023 08:00:00,13.8,0.00,15.5,222
07/04/2023 09:00:00,15.3,0.00,17.4,230
07/04/2023 10:00:00,16.5,0.00,20.2,231
07/04/2023 11:00:00,17.4,0.00,19.1,234
07/04/2023 12:00:00,17.5,0.00,20.5,232
07/04/2023 13:00:00,16.2,0.50,18.4,228
07/04/2023 14:00:00,14.7,2.10,19.8,269
07/04/2023 15:00:00,16.7,0.00,15.9,276
07/04/2023 16:00:00,14.4,1.30,14.5,251
07/04/2023 17:00:00,15.9,0.20,16.6,219
07/04/2023 18:00:00,16.0,0.00,14.7,216
07/04/2023 19:00:00,16.4,0.00,11.7,227
07/04/2023 20:00:00,16.4,0.00,11.7,236
07/04/2023 21:00:00,15.9,0.00,8.4,220
07/04/2023 22:00:00,14.7,0.00,6.1,208
07/04/2023 23:00:00,13.4,0.00,4.0,175
07/05/2023 00:00:00,13.0,0.00,4.3,156
07/05/2023 01:00:00,12.7,0.00,4.8,132
07/05/2023 02:00:00,12.0,0.00,3.8,107
07/05/2023 03:00:00,12.1,0.00,6.6,119
07/05/2023 04:00:00,12.3,0.00,8.4,130
07/05/2023 05:00:00,12.8,0.40,9.0,119
07/05/2023 06:00:00,13.2,0.10,12.7,105
07/05/2023 07:00:00,13.5,0.50,12.5,123
07/05/2023 08:00:00,13.7,1.70,12.1,117
07/05/2023 09:00:00,13.5,5.70,15.3,120
07/05/2023 10:00:00,14.1,1.70,18.7,155
07/05/2023 11:00:00,16.0,0.20,20.5,182
07/05/2023 12:00:00,17.0,0.00,15.7,191
07/05/2023 13:00:00,19.3,0.00,22.9,210
07/05/2023 14:00:00,20.1,0.00,28.2,205
07/05/2023 15:00:00,19.6,0.00,30.8,209
07/05/2023 16:00:00,17.6,0.00,33.9,213
07/05/2023 17:00:00,17.6,0.00,30.3,212
07/05/2023 18:00:00,17.7,0.00,32.1,217
07/05/2023 19:00:00,16.7,0.00,32.1,226
07/05/2023 20:00:00,15.8,0.00,29.1,230
07/05/2023 21:00:00,15.2,0.00,25.8,229
07/05/2023 22:00:00,14.6,0.00,24.5,230
07/05/2023 23:00:00,14.5,0.00,23.6,232
07/06/2023 00:00:00,14.4,0.00,21.5,235
07/06/2023 01:00:00,14.1,0.00,19.6,229
07/06/2023 02:00:00,13.8,0.00,17.6,229
07/06/2023 03:00:00,13.6,0.00,16.9,232
07/06/2023 04:00:00,13.3,0.00,16.1,230
07/06/2023 05:00:00,12.6,0.00,15.0,224
07/06/2023 06:00:00,12.3,0.00,13.4,234
07/06/2023 07:00:00,12.9,0.00,14.5,235
07/06/2023 08:00:00,14.2,0.00,14.6,237
07/06/2023 09:00:00,15.8,0.00,16.6,246
07/06/2023 10:00:00,17.1,0.00,15.6,247
07/06/2023 11:00:00,18.7,0.00,16.6,246
07/06/2023 12:00:00,19.4,0.00,16.9,250
07/06/2023 13:00:00,20.0,0.00,17.0,253
07/06/2023 14:00:00,20.1,0.00,15.9,264
07/06/2023 15:00:00,20.6,0.00,14.1,267
07/06/2023 16:00:00,20.5,0.00,14.9,277
07/06/2023 17:00:00,20.5,0.00,11.5,284
07/06/2023 18:00:00,20.3,0.00,13.7,270
07/06/2023 19:00:00,19.7,0.00,10.3,258
07/06/2023 20:00:00,19.9,0.00,8.6,272
07/06/2023 21:00:00,18.9,0.00,5.4,266
07/06/2023 22:00:00,17.5,0.00,3.3,276
07/06/2023 23:00:00,15.2,0.00,4.5,194
07/07/2023 00:00:00,14.4,0.00,4.0,207
07/07/2023 01:00:00,13.9,0.00,4.6,198
07/07/2023 02:00:00,12.7,0.00,3.6,180
07/07/2023 03:00:00,12.4,0.00,4.0,185
07/07/2023 04:00:00,12.2,0.00,4.4,171
07/07/2023 05:00:00,11.3,0.00,5.4,184
07/07/2023 06:00:00,11.5,0.00,5.4,176
07/07/2023 07:00:00,13.0,0.00,5.8,176
07/07/2023 08:00:00,15.5,0.00,7.2,177
07/07/2023 09:00:00,17.6,0.00,9.4,187
07/07/2023 10:00:00,19.6,0.00,10.7,200
07/07/2023 11:00:00,22.6,0.00,12.0,221
07/07/2023 12:00:00,23.7,0.00,11.2,230
07/07/2023 13:00:00,24.5,0.00,10.0,229
07/07/2023 14:00:00,25.1,0.00,8.9,238
07/07/2023 15:00:00,25.5,0.00,8.3,236
07/07/2023 16:00:00,26.0,0.00,9.2,219
07/07/2023 17:00:00,26.3,0.00,7.7,281
07/07/2023 18:00:00,26.0,0.00,9.9,10
07/07/2023 19:00:00,22.8,0.00,14.3,49
07/07/2023 20:00:00,22.2,0.00,11.8,52
07/07/2023 21:00:00,20.9,0.00,9.8,54
07/07/2023 22:00:00,19.4,0.00,7.4,51
07/07/2023 23:00:00,18.4,0.00,7.4,51
07/08/2023 00:00:00,17.5,0.00,6.4,63
07/08/2023 01:00:00,16.7,0.00,5.3,62
07/08/2023 02:00:00,15.7,0.00,5.1,39
07/08/2023 03:00:00,15.0,0.00,4.9,73
07/08/2023 04:00:00,14.6,0.00,4.3,95
07/08/2023 05:00:00,13.5,0.00,4.7,58
07/08/2023 06:00:00,13.6,0.00,5.5,58
07/08/2023 07:00:00,14.9,0.00,4.9,73
07/08/2023 08:00:00,17.5,0.00,7.8,77
07/08/2023 09:00:00,19.8,0.00,9.0,85
07/08/2023 10:00:00,21.9,0.00,10.2,82
07/08/2023 11:00:00,24.3,0.00,11.0,79
07/08/2023 12:00:00,25.5,0.00,12.2,71
07/08/2023 13:00:00,26.4,0.00,13.5,65
07/08/2023 14:00:00,26.4,0.00,13.6,58
07/08/2023 15:00:00,26.8,0.00,13.7,55
07/08/2023 16:00:00,26.5,0.00,14.6,50
07/08/2023 17:00:00,26.0,0.00,15.5,48
07/08/2023 18:00:00,25.3,0.00,15.3,49
07/08/2023 19:00:00,24.2,0.00,14.5,48
07/08/2023 20:00:00,23.0,0.00,12.3,50
07/08/2023 21:00:00,21.4,0.00,11.2,42
07/08/2023 22:00:00,19.8,0.00,10.7,48
07/08/2023 23:00:00,19.3,0.00,8.4,59
